fileId,fileUrls for custom selected,size
5209513731,/archive/allData/5000/VNP46A1/2020/061/VNP46A1.A2020061.h10v04.001.2020062074148.h5,49823086
5250816651,/archive/allData/5000/VNP46A1/2020/078/VNP46A1.A2020078.h10v04.001.2020119104146.h5,44282169
5213164812,/archive/allData/5000/VNP46A1/2020/062/VNP46A1.A2020062.h10v04.001.2020063070420.h5,46495710
5214468221,/archive/allData/5000/VNP46A1/2020/063/VNP46A1.A2020063.h10v04.001.2020139132707.h5,40353560
5218037891,/archive/allData/5000/VNP46A1/2020/064/VNP46A1.A2020064.h10v04.001.2020065200253.h5,41554310
5219571517,/archive/allData/5000/VNP46A1/2020/065/VNP46A1.A2020065.h10v04.001.2020066080331.h5,44801370
5223283193,/archive/allData/5000/VNP46A1/2020/066/VNP46A1.A2020066.h10v04.001.2020132143032.h5,50327067
5231411728,/archive/allData/5000/VNP46A1/2020/067/VNP46A1.A2020067.h10v04.001.2020070103707.h5,49133937
5231383891,/archive/allData/5000/VNP46A1/2020/068/VNP46A1.A2020068.h10v04.001.2020070101452.h5,41817862
5239634212,/archive/allData/5000/VNP46A1/2020/069/VNP46A1.A2020069.h10v04.001.2020073155652.h5,43621829
5240276172,/archive/allData/5000/VNP46A1/2020/070/VNP46A1.A2020070.h10v04.001.2020073185837.h5,44962661
5239725426,/archive/allData/5000/VNP46A1/2020/071/VNP46A1.A2020071.h10v04.001.2020132155236.h5,49462719
5239026748,/archive/allData/5000/VNP46A1/2020/072/VNP46A1.A2020072.h10v04.001.2020073085839.h5,49135509
5241137786,/archive/allData/5000/VNP46A1/2020/073/VNP46A1.A2020073.h10v04.001.2020074073513.h5,44216079
5243080046,/archive/allData/5000/VNP46A1/2020/074/VNP46A1.A2020074.h10v04.001.2020075064657.h5,40277216
5245011463,/archive/allData/5000/VNP46A1/2020/075/VNP46A1.A2020075.h10v04.001.2020132171946.h5,43047208
5248453063,/archive/allData/5000/VNP46A1/2020/076/VNP46A1.A2020076.h10v04.001.2020119085354.h5,47642198
